brd_label_brand,category_label,dsm_code,product_nature_label,product_code,model_r3,start_at,end_at,life_time,start_year_at
DOMYOS,CLOTHING,X8200550,TANK,101152,8200550,2012-02-26,2014-02-09,714,2014
QUECHUA,CLOTHING,5540,FLEECE,105466,8317152,2014-07-27,2018-12-23,1610,2018
OLAIAN,CLOTHING,174601,BOARDSHORTS,126961,8486132,2018-03-04,2019-06-23,476,2019
QUECHUA,CLOTHING,X8189222,FLEECE,100450,8189222,2012-01-01,2012-11-11,315,2012
QUECHUA,CLOTHING,5498,FLEECE,102583,8284262,2013-08-04,2014-11-23,476,2014
KALENJI,CLOTHING,123164,SHORTS,113088,8355771,2016-02-07,2017-06-04,483,2017
QUECHUA,CLOTHING,X8170664,TROUSERS,65725,8170664,2012-01-01,2013-07-28,574,2013
TRIBORD,CLOTHING,11650,UNDERSHORTS,69747,8303968,2014-03-09,2017-06-25,1204,2017
TRIBORD,CLOTHING,114489,BIKINI TOP,110464,8360442,2016-03-13,2019-02-03,1057,2019
DOMYOS,CLOTHING,X8231283,SHORTS,79521,8231283,2012-07-29,2014-04-20,630,2014
TRIBORD,CLOTHING,140865,BOARDSHORTS,114440,8357465,2016-03-27,2020-06-28,1554,2020
NEWFEEL,FOOTWEAR,3237,SHOES,78442,8242970,2013-03-17,2016-07-03,1204,2016
TRIBORD,CLOTHING,108225,BOARDSHORTS,103170,8333522,2015-03-29,2016-12-18,630,2016
QUECHUA,CLOTHING,126125,SOFTSHELL,113537,8375784,2016-11-06,2018-01-21,441,2018
FORCLAZ,CLOTHING,192277,SHORTS,130337,8501891,2019-02-10,2021-11-07,1001,2021
TARMAK,CLOTHING,147600,SHORTS,117605,8350619,2016-01-24,2018-05-27,854,2018
INESIS,CLOTHING,153794,TROUSERS,121394,8382951,2017-02-05,2019-09-22,959,2019
DOMYOS,CLOTHING,X8167444,TROUSERS,76094,8167444,2012-01-01,2013-01-27,392,2013
KALENJI,CLOTHING,X8179830,LONGJOHNS,76854,8179830,2012-01-01,2012-08-05,217,2012
DOMYOS,CLOTHING,143511,SOCKS,115877,8352852,2015-12-27,2021-10-24,2128,2021
TRIBORD,FOOTWEAR,147436,SHOES,117497,8386457,2017-03-19,2020-05-17,1155,2020
TRIBORD,CLOTHING,X8270372,2 PIECES SWIMSUIT,103658,8270372,2013-02-17,2015-08-02,896,2015
KALENJI,FOOTWEAR,X8351512,SHOES,111074,8351512,2015-12-27,2017-04-16,476,2017
DOMYOS,CLOTHING,171420,TANK,125859,8489730,2017-12-24,2019-06-16,539,2019
DOMYOS,CLOTHING,150604,TANK,120768,8380210,2017-02-05,2018-05-06,455,2018
OLAIAN,CLOTHING,114495,BIKINI BOTTOM,110471,8385544,2017-02-26,2020-02-09,1078,2020
WEDZE,CLOTHING,147699,JACKET,117632,8371061,2016-09-25,2018-11-11,777,2018
TRIBAN,CLOTHING,145714,JERSEY,117011,8491604,2018-09-16,2020-12-13,819,2020
DOMYOS,CLOTHING,X8219099,TROUSERS,101168,8219099,2012-07-15,2013-11-10,483,2013
BTWIN,CLOTHING,X8283858,LONGJOHNS,101685,8283858,2013-11-10,2016-10-02,1057,2016
WEDZE,CLOTHING,12637,DOWN JACKET,105177,8287087,2013-09-29,2015-11-29,791,2015
FOUGANZA,CLOTHING,X8166633,SHORT-SLEEVED POLO SHIRT,67349,8166633,2012-01-01,2015-03-29,1183,2015
KIPSTA,CLOTHING,169216,BASE LAYER,124845,8394127,2017-09-03,2018-12-09,462,2018
QUECHUA,CLOTHING,5416,T-SHIRT,103880,8355034,2016-02-21,2017-06-18,483,2017
KALENJI,FOOTWEAR,X8237768,SHOES,78480,8237768,2013-02-03,2015-06-21,868,2015
DOMYOS,CLOTHING,8354,T-SHIRT,103095,8341341,2015-06-21,2017-04-30,679,2017
KIPSTA,CLOTHING,X8139544,BASE LAYER,64929,8139544,2012-01-01,2014-01-19,749,2014
TRIBORD,FOOTWEAR,1955,FLIP-FLOPS,80442,8305450,2014-02-23,2015-07-12,504,2015
OLAIAN,CLOTHING,193536,BIKINI BOTTOM,110422,8486307,2018-02-18,2020-01-19,700,2020
KALENJI,CLOTHING,X8151081,BRA,71815,8151081,2012-01-01,2014-06-01,882,2014
DOMYOS,CLOTHING,8555,SHORTS,106526,8311840,2014-06-22,2015-05-10,322,2015
DOMYOS,CLOTHING,303672,CROPPED LEGGINGS,300882,8552420,2019-08-11,2021-12-05,847,2021
